time,open,high,low,close,volume
2026-04-07 17:00:00-05:00,6677.25,6734.0,6677.25,6709.5,16885.0
2026-04-07 17:05:00-05:00,6708.75,6726.0,6708.5,6714.5,9521.0
2026-04-07 17:10:00-05:00,6714.25,6718.0,6711.25,6713.75,3282.0
2026-04-07 17:15:00-05:00,6713.5,6715.25,6709.0,6710.75,3639.0
2026-04-07 17:20:00-05:00,6710.5,6715.5,6708.25,6714.5,3120.0
2026-04-07 17:25:00-05:00,6714.5,6716.75,6710.25,6711.75,2650.0
2026-04-07 17:30:00-05:00,6712.0,6750.0,6675.0,6731.0,15588.0
2026-04-07 17:35:00-05:00,6731.0,6772.0,6725.5,6766.75,21481.0
2026-04-07 17:40:00-05:00,6767.25,6771.5,6752.75,6756.75,10247.0
2026-04-07 17:45:00-05:00,6757.0,6763.25,6750.75,6761.25,6264.0
2026-04-07 17:50:00-05:00,6761.25,6778.0,6759.25,6772.0,9985.0
2026-04-07 17:55:00-05:00,6771.75,6793.25,6770.0,6791.75,10403.0
2026-04-07 18:00:00-05:00,6791.25,6801.75,6789.0,6793.25,11216.0
2026-04-07 18:05:00-05:00,6793.25,6796.0,6784.5,6791.5,7441.0
2026-04-07 18:10:00-05:00,6792.0,6797.5,6783.0,6795.0,5398.0
2026-04-07 18:15:00-05:00,6795.25,6800.5,6794.0,6796.5,3848.0
2026-04-07 18:20:00-05:00,6796.5,6813.0,6795.75,6811.5,8250.0
2026-04-07 18:25:00-05:00,6811.5,6818.75,6807.5,6809.0,8368.0
2026-04-07 18:30:00-05:00,6808.75,6812.5,6805.5,6806.0,4180.0
2026-04-07 18:35:00-05:00,6806.5,6807.5,6802.0,6804.75,4162.0
2026-04-07 18:40:00-05:00,6804.25,6806.5,6799.25,6799.75,3879.0
2026-04-07 18:45:00-05:00,6800.0,6806.25,6797.0,6802.5,4298.0
2026-04-07 18:50:00-05:00,6803.0,6807.0,6802.0,6804.5,2731.0
2026-04-07 18:55:00-05:00,6805.0,6808.0,6800.5,6804.5,3038.0
2026-04-07 19:00:00-05:00,6804.25,6810.0,6798.5,6800.75,5779.0
2026-04-07 19:05:00-05:00,6801.0,6802.0,6793.75,6797.5,5286.0
2026-04-07 19:10:00-05:00,6797.25,6802.25,6797.0,6799.5,3357.0
2026-04-07 19:15:00-05:00,6799.0,6799.25,6795.0,6796.75,3616.0
2026-04-07 19:20:00-05:00,6796.75,6799.0,6793.0,6797.0,3189.0
2026-04-07 19:25:00-05:00,6796.75,6800.0,6791.5,6793.5,3338.0
2026-04-07 19:30:00-05:00,6793.75,6795.0,6789.25,6791.0,3373.0
2026-04-07 19:35:00-05:00,6791.0,6800.0,6787.75,6798.25,4558.0
2026-04-07 19:40:00-05:00,6798.75,6799.25,6793.5,6795.0,2281.0
2026-04-07 19:45:00-05:00,6795.5,6805.0,6793.75,6802.25,3895.0
2026-04-07 19:50:00-05:00,6802.5,6807.0,6801.75,6805.0,3069.0
2026-04-07 19:55:00-05:00,6805.25,6807.0,6802.0,6803.5,2158.0
2026-04-07 20:00:00-05:00,6803.75,6806.0,6800.75,6801.75,2252.0
2026-04-07 20:05:00-05:00,6801.75,6811.25,6801.75,6808.0,3630.0
2026-04-07 20:10:00-05:00,6808.0,6809.5,6805.25,6806.5,2000.0
2026-04-07 20:15:00-05:00,6806.75,6809.75,6802.75,6803.0,2224.0
2026-04-07 20:20:00-05:00,6803.0,6804.0,6798.75,6801.5,1952.0
2026-04-07 20:25:00-05:00,6801.75,6803.5,6800.0,6801.0,1301.0
2026-04-07 20:30:00-05:00,6801.25,6805.0,6799.75,6805.0,1654.0
2026-04-07 20:35:00-05:00,6804.75,6807.5,6802.75,6805.5,1753.0
2026-04-07 20:40:00-05:00,6805.25,6807.0,6804.0,6806.75,1266.0
2026-04-07 20:45:00-05:00,6806.75,6811.5,6806.75,6810.25,2015.0
2026-04-07 20:50:00-05:00,6810.5,6813.25,6807.5,6809.25,1941.0
2026-04-07 20:55:00-05:00,6809.5,6810.25,6808.25,6809.25,1000.0
2026-04-07 21:00:00-05:00,6809.0,6812.5,6809.0,6811.75,1378.0
2026-04-07 21:05:00-05:00,6811.5,6813.0,6810.5,6811.75,1105.0
2026-04-07 21:10:00-05:00,6811.75,6813.75,6811.5,6813.0,1190.0
2026-04-07 21:15:00-05:00,6813.0,6814.25,6811.75,6812.0,1392.0
2026-04-07 21:20:00-05:00,6812.0,6815.0,6811.5,6813.5,1428.0
2026-04-07 21:25:00-05:00,6813.75,6814.25,6811.0,6811.5,1445.0
2026-04-07 21:30:00-05:00,6811.75,6816.0,6810.5,6815.25,1558.0
2026-04-07 21:35:00-05:00,6815.25,6817.5,6813.5,6816.75,1982.0
2026-04-07 21:40:00-05:00,6816.75,6817.25,6814.75,6815.5,1003.0
2026-04-07 21:45:00-05:00,6815.5,6817.0,6815.0,6816.5,684.0
2026-04-07 21:50:00-05:00,6817.0,6817.75,6816.0,6817.25,884.0
2026-04-07 21:55:00-05:00,6817.25,6818.0,6816.0,6817.25,848.0
2026-04-07 22:00:00-05:00,6817.5,6819.0,6817.25,6818.0,1550.0
2026-04-07 22:05:00-05:00,6818.0,6819.0,6816.25,6817.75,1087.0
2026-04-07 22:10:00-05:00,6818.0,6818.25,6816.25,6817.0,809.0
2026-04-07 22:15:00-05:00,6816.75,6817.75,6814.0,6815.25,1570.0
2026-04-07 22:20:00-05:00,6815.0,6816.0,6813.0,6813.0,1033.0
2026-04-07 22:25:00-05:00,6813.25,6815.0,6811.75,6813.5,1004.0
2026-04-07 22:30:00-05:00,6813.5,6815.0,6813.0,6813.25,1013.0
2026-04-07 22:35:00-05:00,6813.5,6814.75,6812.75,6813.0,508.0
2026-04-07 22:40:00-05:00,6813.0,6814.75,6813.0,6813.25,544.0
2026-04-07 22:45:00-05:00,6813.0,6814.25,6812.25,6813.0,623.0
2026-04-07 22:50:00-05:00,6813.25,6814.75,6812.5,6814.25,604.0
2026-04-07 22:55:00-05:00,6814.0,6815.75,6814.0,6815.25,671.0
2026-04-07 23:00:00-05:00,6815.25,6818.5,6815.0,6817.75,1094.0
2026-04-07 23:05:00-05:00,6817.5,6819.0,6817.25,6818.5,934.0
2026-04-07 23:10:00-05:00,6818.5,6822.25,6817.75,6820.25,2744.0
2026-04-07 23:15:00-05:00,6820.0,6824.25,6819.25,6819.5,1831.0
2026-04-07 23:20:00-05:00,6819.25,6823.75,6818.5,6821.0,1429.0
2026-04-07 23:25:00-05:00,6820.75,6823.0,6820.0,6822.25,737.0
2026-04-07 23:30:00-05:00,6822.5,6824.75,6821.75,6824.5,931.0
2026-04-07 23:35:00-05:00,6824.25,6824.75,6823.0,6823.25,771.0
2026-04-07 23:40:00-05:00,6823.5,6824.25,6822.75,6823.0,625.0
2026-04-07 23:45:00-05:00,6823.0,6824.0,6822.25,6823.25,848.0
2026-04-07 23:50:00-05:00,6823.25,6823.75,6819.5,6820.0,1337.0
2026-04-07 23:55:00-05:00,6820.25,6822.0,6819.25,6819.5,802.0
